Type,Al(ppm),Ti(ppm),Li(ppm),Ge(ppm),Sr(ppm)
granite,199,8.8,24.1,1.65,0.07
granite,256,8.7,28.5,1.77,0.08
granite,322,7.9,24.5,1.8,0.07
granite,370,6.8,25.1,2.09,0.08
granite,182,6.1,17.4,2.18,0.07
granite,342,9.3,15.8,1.98,0.08
granite,214,8.4,14.5,2.02,0.08
granite,184,7.7,20.8,1.99,0.08
granite,200,8.2,26.5,1.97,0.07
granite,182,5.6,28.7,1.87,0.07
granite,228,7.1,29.9,1.9,0.06
granite,198,7.5,24.2,1.82,0.06
granite,269,8.3,19.6,1.93,0.06
granite,228,6.6,25.8,2.06,0.06
granite,236,6.6,22.7,1.89,0.07
granite,194,6.4,20.3,1.75,0.07
granite,187,6.3,23.8,1.6,0.08
granite,258,6.7,10.9,1.76,0.09
granite,203,7.2,21.5,1.76,0.08
granite,213,8,26.5,1.91,0.12
granite,211,7.3,23.2,1.88,0.07
granite,260,6.3,19.4,1.84,0.11
granite,199,7.7,16.3,1.92,0.07
granite,205,10.1,16.5,1.45,0.07
granite,175,11.5,18.1,1.52,0.12
granite,124,24,23,0.92,0.47
granite,114,49,15,0.86,0.1
granite,332,4.01,54,1.04,2.1
granite,66,11.7,20,1,0.56
granite,150,19.4,37,1.86,0.3
granite,91,15,27,1.77,0.16
granite,87,17.8,24,1.3,0.08
granite,110,7.61,25,1.96,0.06
granite,233,17.2,38,1.45,0.03
granite,234,17.4,38,1.42,0.07
granite,205,16.9,26,1.37,0.06
granite,202,15.9,27,1.17,0.08
granite,198,60,20.9,0.9,0.209
granite,158,74,19.3,0.72,0.14
granite,156,46,16,0.84,0.155
granite,143,49,22.1,0.77,0.052
granite,149,52,23.4,0.8,0.123
granite,136,73,23.5,0.68,0.07
granite,138,73,26.9,0.66,0.121
granite,107,18.2,4.5,1.46,0.11
granite,127,15.9,12.8,1.01,0.16
granite,235,16.7,18.7,1.21,0.07
granite,132,19.4,26.8,0.95,0.06
granite,197,20.5,9.2,1.1,0.08
granite,310,34.1,14.9,0.72,0.07
granite,141,23.2,9.8,0.85,0.06
granite,117,27.7,15.5,1.01,0.07
granite,109,29.2,19,1,0.07
granite,149,20.8,12.2,1.19,0.09
granite,226,7.82,5.53,2.42,0.05
granite,69,12.5,14.9,0.71,0.09
granite,76,17.5,8.71,0.83,0.07
granite,117,18.3,11.1,0.74,0.04
granite,130,24.3,12.1,0.85,0.04
granite,106,30.9,12.8,0.62,0.03
granite,114,42,16.5,0.66,0.06
granite,121,45.9,11.5,0.59,0.04
granite,136,48.4,14,0.61,0.03
granite,119,57.9,17.6,0.62,0.03
granite,139,67.1,17.1,0.53,0.07
granite,131,88.8,23.1,0.55,0.03
granite,117,94.4,14.5,0.54,0.06
granite,166,109,19.6,0.51,0.05
pegmatite,231,1.97,0.38,3.26,0.03
orogenic,1157.7,3.5,24.7,4.53,6.69
orogenic,728.2,2.3,10.3,4.28,6.85
orogenic,408.2,1,9.6,1.95,8.69
orogenic,961.9,3.1,10.7,3.33,3.81
orogenic,895.9,2.3,2.9,4.17,8.14
orogenic,504,1.4,2.4,2.28,4.23
orogenic,735.2,3.1,8.8,3.27,7.18
orogenic,269.2,0.7,2.8,1.83,3.69
orogenic,135.1,0.7,4.5,1.93,0.26
orogenic,631.1,1.9,30.9,2.1,0.36
orogenic,836.9,2,43.8,5.41,0.04
orogenic,192.8,0.9,8.9,3.38,0.09
orogenic,333.9,0.6,17.6,1.73,0.03
orogenic,92.3,0.5,4.1,2.58,0.02
orogenic,102.5,0.5,3.6,2.43,0.04
orogenic,103.4,0.6,3.5,2.31,0.07
orogenic,475.7,2,22.7,5.71,0.16
orogenic,106.6,0.8,4.3,2.01,0.14
orogenic,806,3.7,40.9,4.84,0.08
orogenic,106.8,0.2,5.3,1.54,0.03
orogenic,131,0.2,8.9,2.5,0.36
orogenic,130.4,0.5,9,3.76,0.1
orogenic,56.4,0.5,3.4,1.7,0.08
orogenic,20,0.1,0.8,0.37,0.02
orogenic,119.4,0.7,8.4,2.54,0.02
orogenic,299,1.4,18.2,3.37,0.12
orogenic,27,0.4,1.1,1.42,0.21
orogenic,116.9,0.2,8.8,0.86,0.02
orogenic,510.8,0.9,30,3.31,0.03
orogenic,81.7,0.3,3,1.26,0.08
orogenic,387.7,1.5,15.6,2.2,0.38
orogenic,365.8,1.1,13.8,4.07,0.21
orogenic,224.9,0.6,12.6,3.06,0.02
orogenic,42.7,0.4,1.8,1.74,0.02
orogenic,115.8,0.4,4.6,1.55,0.15
orogenic,662.9,1.2,40.7,5.47,0.37
orogenic,738.7,1.8,50.9,4.77,0.52
orogenic,646,1.5,42.8,4.11,0.12
orogenic,680.8,1.4,35.3,4.48,0.62
orogenic,11.2,0.1,0.1,1.34,0.02
orogenic,1223.8,3.5,71.2,5.9,0.05
orogenic,33.4,0.2,1.2,1.12,0.12
orogenic,446.9,1.5,27.5,3.47,0.14
orogenic,663.9,1.7,39.5,4.38,0.06
orogenic,1029,2.8,65.6,5.54,0.05
orogenic,802.8,1.8,45.6,3.9,0.2
orogenic,588.6,0.9,34.3,6.34,0.11
orogenic,35.3,0.1,0.9,1.6,0.08
orogenic,1904.6,0.6,67.6,1.3,0.14
orogenic,1912.1,0.8,63.7,1.24,0.03
orogenic,1393,0.5,55.5,2.02,0.02
orogenic,1979.1,1.3,65.5,1.1,0.06
orogenic,1990.3,0.9,67.3,1.59,0.04
orogenic,1978.9,0.8,68,1.45,0.33
orogenic,2389.8,1.2,105.9,3.32,0.1
orogenic,283,1.23,3.234,12.239,1.481
orogenic,92.02,0.229,0.746,6.622,0.267
orogenic,86.867,0.192,2.074,7.19,0.063
orogenic,81.7,0.139,0.879,8.92,0.123
orogenic,3027,1.185,3.809,10.554,9.573
orogenic,3054,2.479,10.016,14.717,8.316
orogenic,3315,3.563,11.957,15.661,3.811
orogenic,2132,0.615,22.469,17.025,2.348
orogenic,2279,0.656,23.275,21.605,1.351
orogenic,2470,1.097,24.025,35.855,1.041
orogenic,3380,0.88,10.779,10.436,16.19
orogenic,3209,1.063,1.106,9.466,8.135
orogenic,2524,1.051,8.368,11.243,5.283
orogenic,2974,0.68,8.061,12.149,33.619
orogenic,3237,0.673,3.323,10.753,16.508
orogenic,126,0.123,0.129,6.388,2.091
orogenic,418,0.228,6.674,8.425,3.006
orogenic,98.706,0.328,0.252,5.204,0.952
orogenic,65.994,2.948,0.227,4.962,1.401
orogenic,132,0.241,0.748,5.594,2.817
orogenic,96.347,0.476,0.235,8.189,0.547
orogenic,54.629,0.441,0.066,5.163,1.138
orogenic,24.52,0.124,0.054,6.098,1.057
orogenic,55.573,0.209,0.097,6.499,0.712
orogenic,18.392,0.173,0.04,5.823,0.44
orogenic,88.626,0.178,0.416,8.484,0.461
orogenic,67.673,0.266,0.148,6.319,0.142
orogenic,126,0.674,2.761,10.978,0.196
orogenic,195,0.277,3.391,8.839,0.884
orogenic,33.649,0.128,0.243,5.195,0.737
orogenic,2005,0.87,28.467,13.783,4.01
orogenic,3291,2.394,7.321,10.925,13.011
orogenic,126,0.83,4.432,3.244,3.696
orogenic,2486,4.74,2.744,9.658,12.465
orogenic,1793,2.232,17.984,9.14,6.787
